ticker,title,game_date,home_team,away_team,kalshi_team_side,kalshi_prev_price,yes_bid,yes_ask,sb_prob_normed,gap,result,volume,yes_side_won
KXNBAGAME-26FEB04OKCSAS-SAS,Oklahoma City at San Antonio Winner?,2026-02-05,San Antonio Spurs,Oklahoma City Thunder,home,0.93,0.77,0.93,0.9070373588184187,-0.02296264118158131,yes,186220.00,1
KXNBAGAME-26FEB04DENNYK-NYK,Denver at New York Winner?,2026-02-05,New York Knicks,Denver Nuggets,home,0.64,0.64,0.66,0.6015228426395939,-0.03847715736040613,yes,282113.00,1
KXNBAGAME-26FEB04CLELAC-LAC,Cleveland at Los Angeles C Winner?,2026-02-05,Los Angeles Clippers,Cleveland Cavaliers,home,0.07,0.0,1.0,0.1791277258566978,0.1091277258566978,no,210110.00,0
KXNBAGAME-26FEB04BOSHOU-HOU,Boston at Houston Winner?,2026-02-05,Houston Rockets,Boston Celtics,home,0.06,0.0,1.0,0.6105527638190955,0.5505527638190955,no,217863.00,0
KXNBAGAME-26FEB04MEMSAC-SAC,Memphis at Sacramento Winner?,2026-02-05,Sacramento Kings,Memphis Grizzlies,home,0.76,0.55,0.76,0.6095717884130982,-0.15042821158690178,no,200333.00,0
KXNBAGAME-26FEB05BKNORL-ORL,Brooklyn at Orlando Winner?,2026-02-06,Orlando Magic,Brooklyn Nets,home,0.83,0.0,1.0,0.8876050420168067,0.05760504201680672,yes,97163.00,1
KXNBAGAME-26FEB05CHAHOU-HOU,Charlotte at Houston Winner?,2026-02-06,Houston Rockets,Charlotte Hornets,home,0.58,0.0,1.0,0.31756756756756754,-0.2624324324324324,no,128267.00,0
KXNBAGAME-26FEB05CHITOR-TOR,Chicago at Toronto Winner?,2026-02-06,Toronto Raptors,Chicago Bulls,home,0.87,0.0,1.0,0.8823529411764705,0.012352941176470456,yes,111131.00,1
KXNBAGAME-26FEB05GSWPHX-PHX,Golden State at Phoenix Winner?,2026-02-06,Phoenix Suns,Golden State Warriors,home,0.72,0.0,1.0,0.5846153846153845,-0.13538461538461544,no,313574.00,0
KXNBAGAME-26FEB05PHILAL-PHI,Philadelphia at Los Angeles L Winner?,2026-02-06,Los Angeles Lakers,Philadelphia 76ers,away,0.56,0.0,1.0,0.556135770234987,-0.0038642297650131052,no,161215.00,0
KXNBAGAME-26FEB05SASDAL-SAS,San Antonio at Dallas Winner?,2026-02-06,Dallas Mavericks,San Antonio Spurs,away,0.67,0.0,1.0,0.7331975560081467,0.0631975560081467,yes,150040.00,1
KXNBAGAME-26FEB05UTAATL-UTA,Utah at Atlanta Winner?,2026-02-06,Atlanta Hawks,Utah Jazz,away,0.28,0.0,1.0,0.38765432098765434,0.10765432098765432,no,148769.00,0
KXNBAGAME-26FEB05WASDET-WAS,Washington at Detroit Winner?,2026-02-06,Detroit Pistons,Washington Wizards,away,0.75,0.0,1.0,0.503957783641161,-0.24604221635883905,yes,158619.00,1
KXNBAGAME-26FEB07WASBKN-WAS,Washington at Brooklyn Winner?,2026-02-07,Brooklyn Nets,Washington Wizards,away,0.01,0.0,1.0,0.03739355794150315,0.027393557941503145,no,204521.00,0
KXNBAGAME-26FEB06NYKDET-NYK,New York at Detroit Winner?,2026-02-07,Detroit Pistons,New York Knicks,away,0.42,0.0,1.0,0.19865319865319864,-0.22134680134680135,no,201599.00,0
KXNBAGAME-26FEB06NOPMIN-NOP,New Orleans at Minnesota Winner?,2026-02-07,Detroit Pistons,New York Knicks,away,0.25,0.0,1.0,0.061941631923764146,-0.18805836807623585,yes,132173.00,1
KXNBAGAME-26FEB06LACSAC-SAC,Los Angeles C at Sacramento Winner?,2026-02-07,Sacramento Kings,Los Angeles Clippers,home,0.01,0.0,1.0,0.5380577427821522,0.5280577427821522,no,241837.00,0
KXNBAGAME-26FEB06MEMPOR-POR,Memphis at Portland Winner?,2026-02-07,Portland Trail Blazers,Memphis Grizzlies,home,0.79,0.0,1.0,0.5601023017902813,-0.22989769820971873,yes,250193.00,1
KXNBAGAME-26FEB06INDMIL-MIL,Indiana at Milwaukee Winner?,2026-02-07,Milwaukee Bucks,Indiana Pacers,home,0.9,0.0,1.0,0.3825,-0.5175000000000001,yes,210018.00,1
KXNBAGAME-26FEB06MIABOS-MIA,Miami at Boston Winner?,2026-02-07,Boston Celtics,Miami Heat,away,0.32,0.0,1.0,0.7692307692307693,0.44923076923076927,no,72479.00,0
KXNBAGAME-26FEB07HOUOKC-OKC,Houston at Oklahoma City Winner?,2026-02-07,Oklahoma City Thunder,Houston Rockets,home,0.01,0.0,1.0,0.8265460030165913,0.8165460030165913,no,199722.00,0
KXNBAGAME-26FEB07CHAATL-CHA,Charlotte at Atlanta Winner?,2026-02-08,Atlanta Hawks,Charlotte Hornets,away,0.56,0.0,1.0,0.5197889182058046,-0.040211081794195414,yes,140106.00,1
KXNBAGAME-26FEB07CLESAC-SAC,Cleveland at Sacramento Winner?,2026-02-08,Sacramento Kings,Cleveland Cavaliers,home,0.24,0.0,1.0,0.2299065420560748,-0.010093457943925188,no,298223.00,0
KXNBAGAME-26FEB07DALSAS-SAS,Dallas at San Antonio Winner?,2026-02-08,San Antonio Spurs,Dallas Mavericks,home,0.8,0.0,1.0,0.8455172413793104,0.04551724137931035,yes,96109.00,1
KXNBAGAME-26FEB07DENCHI-DEN,Denver at Chicago Winner?,2026-02-08,Chicago Bulls,Denver Nuggets,away,0.98,0.0,1.0,0.7693726937269373,-0.2106273062730627,yes,297092.00,1
KXNBAGAME-26FEB07GSWLAL-LAL,Golden State at Los Angeles L Winner?,2026-02-08,Los Angeles Lakers,Golden State Warriors,home,0.99,0.0,1.0,0.6015228426395939,-0.3884771573604061,yes,262356.00,1
KXNBAGAME-26FEB07MEMPOR-POR,Memphis at Portland Winner?,2026-02-08,Portland Trail Blazers,Memphis Grizzlies,home,0.74,0.0,1.0,0.7454909819639278,0.005490981963927832,yes,200225.00,1
KXNBAGAME-26FEB07UTAORL-UTA,Utah at Orlando Winner?,2026-02-08,Orlando Magic,Utah Jazz,away,0.34,0.0,1.0,0.26597938144329897,-0.07402061855670106,no,313497.00,0
KXNBAGAME-26FEB08INDTOR-TOR,Indiana at Toronto Winner?,2026-02-08,Toronto Raptors,Indiana Pacers,home,0.76,0.0,1.0,0.7524752475247526,-0.00752475247524742,yes,121556.00,1
KXNBAGAME-26FEB08LACMIN-MIN,Los Angeles C at Minnesota Winner?,2026-02-08,Minnesota Timberwolves,Los Angeles Clippers,home,0.75,0.0,1.0,0.7415506958250497,-0.008449304174950267,no,124110.00,0
KXNBAGAME-26FEB08MIAWAS-WAS,Miami at Washington Winner?,2026-02-08,Washington Wizards,Miami Heat,home,0.21,0.0,1.0,0.08786610878661089,-0.1221338912133891,no,92189.00,0
KXNBAGAME-26FEB08NYKBOS-NYK,New York at Boston Winner?,2026-02-08,Boston Celtics,New York Knicks,away,0.42,0.0,1.0,0.6588785046728972,0.23887850467289723,yes,174117.00,1
KXNBAGAME-26FEB07PHIPHX-PHX,Philadelphia at Phoenix Winner?,2026-02-08,Phoenix Suns,Philadelphia 76ers,home,0.24,0.0,1.0,0.5171503957783641,0.2771503957783641,no,268149.00,0
KXNBAGAME-26FEB09UTAMIA-UTA,Utah at Miami Winner?,2026-02-10,Miami Heat,Utah Jazz,away,0.28,0.0,1.0,0.257606490872211,-0.022393509127789035,yes,274327.00,1
KXNBAGAME-26FEB09PHIPOR-POR,Philadelphia at Portland Winner?,2026-02-10,Portland Trail Blazers,Philadelphia 76ers,home,0.89,0.0,1.0,0.4412532637075718,-0.4487467362924282,yes,290513.00,1
KXNBAGAME-26FEB09OKCLAL-OKC,Oklahoma City at Los Angeles L Winner?,2026-02-10,Los Angeles Lakers,Oklahoma City Thunder,away,0.56,0.0,1.0,0.6705607476635514,0.1105607476635514,yes,288282.00,1
KXNBAGAME-26FEB09MILORL-ORL,Milwaukee at Orlando Winner?,2026-02-10,Orlando Magic,Milwaukee Bucks,home,0.78,0.0,1.0,0.7999999999999999,0.019999999999999907,yes,34367.00,1
KXNBAGAME-26FEB09SACNOP-SAC,Sacramento at New Orleans Winner?,2026-02-10,New Orleans Pelicans,Sacramento Kings,away,0.07,0.0,1.0,0.12659698025551686,0.05659698025551685,no,172137.00,0
KXNBAGAME-26FEB09DETCHA-DET,Detroit at Charlotte Winner?,2026-02-10,Charlotte Hornets,Detroit Pistons,away,0.85,0.0,1.0,0.5171503957783641,-0.3328496042216359,yes,315706.00,1
KXNBAGAME-26FEB09ATLMIN-MIN,Atlanta at Minnesota Winner?,2026-02-10,Minnesota Timberwolves,Atlanta Hawks,home,0.98,0.0,1.0,0.8378766140602583,-0.14212338593974172,yes,167200.00,1
KXNBAGAME-26FEB09MEMGSW-MEM,Memphis at Golden State Winner?,2026-02-10,Golden State Warriors,Memphis Grizzlies,away,0.92,0.0,1.0,0.25656565656565655,-0.6634343434343435,no,462095.00,0
KXNBAGAME-26FEB09CLEDEN-DEN,Cleveland at Denver Winner?,2026-02-10,Denver Nuggets,Cleveland Cavaliers,home,0.69,0.0,1.0,0.7586872586872586,0.06868725868725867,no,170298.00,0
KXNBAGAME-26FEB09CHIBKN-CHI,Chicago at Brooklyn Winner?,2026-02-10,Brooklyn Nets,Chicago Bulls,away,0.21,0.0,1.0,0.5761421319796954,0.3661421319796955,no,324640.00,0
KXNBAGAME-26FEB10DALPHX-PHX,Dallas at Phoenix Winner?,2026-02-11,Phoenix Suns,Dallas Mavericks,home,0.94,0.0,1.0,0.9433962264150945,0.0033962264150945165,yes,348164.00,1
KXNBAGAME-26FEB10INDNYK-NYK,Indiana at New York Winner?,2026-02-11,New York Knicks,Indiana Pacers,home,0.84,0.0,1.0,0.7236286919831223,-0.11637130801687767,no,424031.00,0
KXNBAGAME-26FEB10LACHOU-LAC,Los Angeles C at Houston Winner?,2026-02-11,Houston Rockets,Los Angeles Clippers,away,0.29,0.0,1.0,0.25195312499999994,-0.038046875000000036,no,358141.00,0
KXNBAGAME-26FEB10SASLAL-SAS,San Antonio at Los Angeles L Winner?,2026-02-11,Los Angeles Lakers,San Antonio Spurs,away,0.85,0.0,1.0,0.9901960784313726,0.1401960784313726,yes,391218.00,1
KXNBAGAME-26FEB11WASCLE-WAS,Washington at Cleveland Winner?,2026-02-12,Cleveland Cavaliers,Washington Wizards,away,0.05,0.0,1.0,0.045888232621535664,-0.0041117673784643385,no,598133.00,0
KXNBAGAME-26FEB11SASGSW-SAS,San Antonio at Golden State Winner?,2026-02-12,Golden State Warriors,San Antonio Spurs,away,0.7,0.0,1.0,0.5601023017902813,-0.13989769820971865,yes,562772.00,1
KXNBAGAME-26FEB11SACUTA-UTA,Sacramento at Utah Winner?,2026-02-12,Utah Jazz,Sacramento Kings,home,0.98,0.0,1.0,0.9097162510748065,-0.07028374892519351,yes,489838.00,1
KXNBAGAME-26FEB11PORMIN-POR,Portland at Minnesota Winner?,2026-02-12,Minnesota Timberwolves,Portland Trail Blazers,away,0.07,0.0,1.0,0.1186813186813187,0.0486813186813187,no,278985.00,0
KXNBAGAME-26FEB11OKCPHX-PHX,Oklahoma City at Phoenix Winner?,2026-02-12,Phoenix Suns,Oklahoma City Thunder,home,0.01,0.0,1.0,0.16174402250351616,0.15174402250351615,no,531917.00,0
